"id параметра","Формат","Наименование параметра", "Описание параметра"
"1","UUID","created_from",
"2","TINYINT","is_signed",
"3","TINYINT","encrypted",
"4","INT","comdoc_reestr_id",
"5","TINYINT","comdoc_reestr_is_active",
"6","VARCHAR","ftpex_file_name",
"7","INT","ftpex_file_date",
"8","INT","inv_date",
"9","VARCHAR","inv_num",
"10","INT","error_code",
"11","INT","sub_doc_type_id",
"12","INT","sub_status_id",
"13","VARCHAR","action",
"14","VARCHAR","buyer_uuid",
"15","VARCHAR","consignee_uuid",
"16","VARCHAR","consignor_uuid",
"17","VARCHAR","customer_uuid",
"18","VARCHAR","performer_uuid",
"19","VARCHAR","supplier_uuid",
"20","VARCHAR","delivery_place_uuid",
"21","VARCHAR","contract_date",
"22","VARCHAR","contract_number",
"23","INT","delivery_date",
"24","VARCHAR","order_number",
"25","INT","order_date",
"26","INT","return_date",
"27","VARCHAR","summ",
"28","MD5","parent_chain_hash",
"29","VARCHAR","period",
"30","TEXT","text_uvutoch",
"31","VARCHAR","trans_id",
"32","VARCHAR","ttn",
"33","VARCHAR","doc_start_date",
"34","VARCHAR","doc_end_date",
"35","VARCHAR","delivery_note_number",
"36","TINYINT","rep_destination",
"37","UUID","tax_doc_guid",
"38","UUID","tax_exch_guid",
"39","VARCHAR","tax_recipient",
"40","VARCHAR","tax_sender",
"41","TINYINT","tax_state_id",
"42","VARCHAR","contract_gln",
"43","INT","doc_date",
"44","VARCHAR","delivery_agreement_number",
"45","INT","delivery_agreement_date",
"46","VARCHAR","varn",
"47","TEXT","other_info",
"48","INT","sub_doc_date",
"49","VARCHAR","sub_doc_number",
"50","TEXT","doc_error",
"51","TEXT","doc_info",
"52","INT","old_doc_id",
"53","INT","sub_status_date",
"54","INT","from_doc_id",
"56","VARCHAR","doc_num",
"57","VARCHAR","sender",
"58","VARCHAR","recipient",
"59","VARCHAR","file_name",
"60","VARCHAR","xml_hash",
"61","INT","answer_doc_id",
"62","VARCHAR","manager_name",
"63","VARCHAR","consignors_list",
"64","VARCHAR","consignees_list",
"65","VARCHAR","car_info",
"66","VARCHAR","driver_info",
"67","INT","trip_date_from",
"68","INT","trip_date_end",
"69","INT","trip_date_end_actual",
"70","INT","trip_time_from",
"71","INT","trip_time_end",
"72","INT","trip_time_end_actual",
"73","VARCHAR","trip_tonnage",
"74","VARCHAR","trip_unload_type",
"75","INT","trip_pallet_amount",
"76","VARCHAR","trip_zone",
"77","VARCHAR","trip_cargo_type",
"78","TEXT","trip_version_info",
"79","VARCHAR","trip_region",
"80","VARCHAR","identifier",
"81","MD5","relative_chain_hash",
"82","VARCHAR","compound_number",
"85","TINYINT","doc_process",
"87","VARCHAR","users",
