типа документа/квитанции, название документа/квитанции, описание документа/квитанции (наименование на русском)
0, "all", "all"
1, "invoice", "Счет"
2, "orders", "Заказ"
3, "recadv", "Уведомление о приеме"
4, "desadv", "Уведомление об отгрузке"
5, "ordrsp", "Подтверждение заказа"
6, "pricat", "Прайс-лист"
7, "comdis", "Коммерческая дискуссия"
8, "delnot", "Расходная накладная"
9, "act", "Акт выполненных работ"
10, "declar", "Налоговая накладная"
11, "insdes", "Инструкция по доставке"
12, "desscc", "Уведомление об отгрузке для распределительного центра"
13, "slsrpt", "Отчет о продажах"
14, "invrpt", "Отчет об инвентаризации"
15, "coacsu", "Акт сверки взаиморасчетов"
16, "actset", "Акт взаимозачета"
17, "iftmin", "Инструкция о транспортировке"
18, "retann", "Уведомление о возврате"
19, "iftmbf", "Заказ транспортировки"
20, "partin", "Информация о контрагенте"
21, "mscons", "Отчет о предоставленых услугах"
22, "sfakt", "ЭСФ"
23, "torg12", "ТОРГ-12"
25, "retins", "Инструкция о возврате"
26, "korsfakt", "Корр. СФ"
27, "alcdes", "Уведомление об отгрузке для алкогольной продукции"
28, "comdoc", "Коммерческий документ"
29, "declarj12", "Корректировка к налоговой накладной"
30, "condra", "Не структурированный документ "
31, "iftsta", "Статус транспортировки"
32, "reestr", "Реестр"
33, "iaktprm", "Акт(исполнитель)"
34, "zaktprm", "Акт(заказчик)"
38, "report", "Отчет"
40, "prodlist", "Спецификация (Новус)"
41, "agreem", "Товарное согласование"
42, "iftmbc", "Подтверждение заказа транспортировки"
43, "translist", "Транс-лист"
45, "delfor", "График поставок"
46, "dpptorg", "Торг-12 (титул Покупателя)"
47, "dpptorg1", "Торг-1"
48, "dpptorg2", "Торг-2"
49, "delplan", "Календарь поставок"
50, "swedrep", "Запрос в ЕРНН"
51, "swedreq", "Запрос в SWED"
52, "tripspec", "Транспортная спецификация"
53, "tripreg", "Реестр рейсов (Титул заказчика)"
54, "tripregdp", "Реестр рейсов (Титул исполнителя)"
55, "cert", "Сертификат"
56, "dopcert", "Дополнительный файл серт."
57, "rpd", "РПД"
58, "factsupplyact", "Акт закрытия поставки"
59, "documentinvoice", "Товарная накладная"
60, "supplyinfo", "Информация о поставке"
61, "updsfakt", "УПД СЧФ"
62, "updsfaktdop", "УПД СЧФ Доп"
63, "upddop", "УПД Доп"
64, "ukdsfakt", "УКД СЧФ"
65, "ukdsfaktdis", "УКД СЧФ Дис"
66, "ukddis", "УКД Дис"
67, "doccorinvoice", "doccorinvoice"
68, "rureestr", "Реестр"
69, "invoiceset", "СЧФ"
70, "invitation", "invitation"
71, "reconciliat", "reconciliat"
73, "blrwbl", "blrwbl"
74, "blrwbr", "blrwbr"
75, "waybill", "ТТН"
76, "cmspacket", "cmspacket"
77, "rsp", "rsp"
78, "udtnotif", "udtnotif"
79, "addbill", "addbill"
81, "findoc", "findoc"
83, "oaktpp", "oaktpp"
84, "oaktnp", "oaktnp"
85, "trnsnfo", "trnsnfo"
86, "trnsrdr", "trnsrdr"
87, "report_declar", "report_declar"
88, "report_declarj12", "report_declarj12"
89, "dpprannul", "dpprannul"
90, "izvpol", "izvpol"
91, "pdpol", "pdpol"
92, "pdotpr", "pdotpr"
93, "uvutoch", "uvutoch"
94, "declar_confirm", "Подтверждение"
95, "declar_reject", "Отказ"
96, "metro_request", "metro_request"
97, "metro_extract", "metro_extract"
98, "quotes", "Приложение к ув.об отгрузке"
100, "rezruisp", "Акт о передаче результатов работ"
103, "condranew", "Не структурированный документ "
104, "doveksp", "Экспедиционная доверенность"
105, "rutrn", "Транспортная накладная"
106, "slsfct", "Уведомление о выставленных планах по продажам"
107, "logset", "Согласование условий поставки товара"
